name,social_security_number,location
Stina Häggkvist,670205-4120,NA
Oliver Lundell,030618-8038,Skara
NA,891003-5992,Göteborg
Maria Niemelä,NA,Stockholm
Emil Söderberg,NA,Skellefteå
Amina Farah,090201-7021,Borås
Ottilia Lundell,750702-2262,Örebro
Simon Eriksson,830727-5746,Bergsjö
Anna Jacobsson,650516-1049,Göteborg
Mattias Olsson,920822-8750,Piteå
Josefine Westerlund,001205-0514,Mariestad
Daniel Ekholm,941224-2498,Västerås
Kaisa Heikkilä,810324-7541,Hällefors
Aslan Antfolk,870914-2817,Boden
Zelenia Guerrero,790403-7251,Falköping
Minna Lahti,940410-6875,Örebro
Patric Sandlund,770707-7645,Borås
Mikaela Wilhelms,700620-5988,Göteborg
Gustav Lindholm,911006-3683,Kalmar
Beatrice Andersson,610917-7821,Örebro
Lars Almgren,710804-6983,Umeå
Sara Beijer,610131-8811,Luleå
Johan Dahlbäck,620710-1988,Mariestad
Christina Hallgren,920328-4287,Nässjö
Thomas Johansson,550914-0842,Malmö
Lena Boberg,930622-7753,Borlänge
Jan Svensson,820929-7384,Stockholm
Sara Svensson,760203-2927,Malmö
